,voter_party,vote_events,avg_present_votes,avg_distinct_options,avg_entropy_bits
0,สมาชิกวุฒิสภา,84,175.49,2.82,0.3562
1,ประชาชาติ,357,6.03,1.34,0.2555
2,เศรษฐกิจไทย,77,9.6,1.35,0.226
3,ก้าวไกล,212,47.22,1.54,0.187
4,เพื่อชาติ,166,2.84,1.23,0.181
5,เพื่อไทย,373,85.61,1.76,0.1505
6,ประชาธิปัตย์,373,26.13,1.57,0.1424
7,เศรษฐกิจใหม่,187,4.18,1.17,0.133
8,ไทยสร้างไทย,186,4.48,1.15,0.1284
9,เสรีรวมไทย,220,4.24,1.17,0.1264
10,พลังประชารัฐ,373,51.01,1.45,0.117
11,รวมไทยสร้างชาติ,190,20.68,1.28,0.1128
12,ภูมิใจไทย,372,56.04,1.56,0.0957
13,ชาติไทยพัฒนา,362,6.72,1.14,0.0842
14,รักษ์ผืนป่าประเทศไทย,155,1.7,1.07,0.071
15,กล้าธรรม,139,14.49,1.14,0.0706
16,พลังท้องถิ่นไท,185,3.37,1.08,0.0694
17,ประชาชน,159,130.03,1.58,0.0521
18,ชาติพัฒนา,369,3.2,1.05,0.0447
19,เป็นธรรม,144,1.02,1.02,0.0208
20,รวมพลัง,196,2.01,1.02,0.0153
21,ประชาธรรมไทย,76,1.0,1.0,0.0
22,ท้องที่ไทย,37,1.0,1.0,0.0
23,ครูไทยเพื่อประชาชน,138,1.0,1.0,0.0
24,พรร่คภูมีใจไทย,2,1.0,1.0,0.0
25,รวมแผ่นดิน,2,1.0,1.0,0.0
26,พลังสังคมใหม่,35,1.0,1.0,0.0
27,พลังไทยรักไทย,6,1.0,1.0,0.0
28,พลเมืองไทย,149,1.0,1.0,0.0
29,พลังปวงชนไทย,121,1.0,1.0,0.0
30,ประชาภิวัฒน์,146,1.0,1.0,0.0
31,พลังชาติไทย,113,1.0,1.0,0.0
32,พลังธรรมใหม่,146,1.0,1.0,0.0
33,ประชานิยม,2,1.0,1.0,0.0
34,อนาคตใหม่,2,60.0,1.0,0.0
35,ใหม่,45,1.0,1.0,0.0
36,โอกาสไทย,2,1.0,1.0,0.0
37,ไทยก้าวหน้า,94,1.0,1.0,0.0
38,ไทยรวมไทย,15,1.0,1.0,0.0
39,ไทยศรีวิไลย์,47,1.0,1.0,0.0
40,ไทรักธรรม,117,1.0,1.0,0.0
