,voter_party,vote_events,avg_present_votes,avg_unity_score,avg_unity_pct
0,ครูไทยเพื่อประชาชน,138,1.0,1.0,100.0
1,ประชาธรรมไทย,76,1.0,1.0,100.0
2,ท้องที่ไทย,37,1.0,1.0,100.0
3,พลังไทยรักไทย,6,1.0,1.0,100.0
4,พลังธรรมใหม่,146,1.0,1.0,100.0
5,พลังชาติไทย,113,1.0,1.0,100.0
6,พรร่คภูมีใจไทย,2,1.0,1.0,100.0
7,ประชาภิวัฒน์,146,1.0,1.0,100.0
8,ประชานิยม,2,1.0,1.0,100.0
9,ใหม่,45,1.0,1.0,100.0
10,พลเมืองไทย,149,1.0,1.0,100.0
11,โอกาสไทย,2,1.0,1.0,100.0
12,ไทยรวมไทย,15,1.0,1.0,100.0
13,ไทรักธรรม,117,1.0,1.0,100.0
14,ไทยศรีวิไลย์,47,1.0,1.0,100.0
15,พลังสังคมใหม่,35,1.0,1.0,100.0
16,พลังปวงชนไทย,121,1.0,1.0,100.0
17,รวมแผ่นดิน,2,1.0,1.0,100.0
18,อนาคตใหม่,2,60.0,1.0,100.0
19,ไทยก้าวหน้า,94,1.0,1.0,100.0
20,ประชาชน,159,130.03,0.9933,99.33
21,รวมพลัง,196,2.01,0.9923,99.23
22,เป็นธรรม,144,1.02,0.9896,98.96
23,ภูมิใจไทย,372,56.04,0.9846,98.46
24,ชาติพัฒนา,369,3.2,0.9837,98.37
25,กล้าธรรม,139,14.49,0.9824,98.24
26,ชาติไทยพัฒนา,362,6.72,0.9776,97.76
27,พลังท้องถิ่นไท,185,3.37,0.9733,97.33
28,ประชาธิปัตย์,373,26.13,0.9727,97.27
29,รวมไทยสร้างชาติ,190,20.68,0.9726,97.26
30,พลังประชารัฐ,373,51.01,0.9707,97.07
31,เพื่อไทย,373,85.61,0.9683,96.83
32,รักษ์ผืนป่าประเทศไทย,155,1.7,0.9645,96.45
33,เสรีรวมไทย,220,4.24,0.959,95.9
34,ก้าวไกล,212,47.22,0.9581,95.81
35,เศรษฐกิจใหม่,187,4.18,0.9543,95.43
36,ไทยสร้างไทย,186,4.48,0.9459,94.59
37,เพื่อชาติ,166,2.84,0.9423,94.23
38,เศรษฐกิจไทย,77,9.6,0.9336,93.36
39,สมาชิกวุฒิสภา,84,175.49,0.932,93.2
40,ประชาชาติ,357,6.03,0.9126,91.26
