,voter_party,people,avg_absence_rate,avg_absence_pct
34,โอกาสไทย,2,0.8333333333333333,83.33
38,ไทยศรีวิไลย์,1,0.745945945945946,74.59
23,รวมแผ่นดิน,1,0.6,60.0
28,เป็นธรรม,2,0.5234113712374582,52.34
29,เพื่อชาติ,11,0.49267482790075284,49.27
36,ไทยก้าวหน้า,1,0.4918032786885246,49.18
33,เสรีรวมไทย,17,0.4836521530720186,48.37
13,พลังชาติไทย,2,0.4371273712737127,43.71
11,ประชาภิวัฒน์,2,0.43554327808471455,43.55
24,รวมไทยสร้างชาติ,42,0.4272821489525044,42.73
2,ครูไทยเพื่อประชาชน,1,0.425,42.5
22,รวมพลัง,11,0.41246201604205335,41.25
32,เศรษฐกิจไทย,22,0.4072365963214403,40.72
7,ประชาชาติ,25,0.40105253963141935,40.11
30,เพื่อไทย,298,0.39601388715598146,39.6
4,ชาติไทยพัฒนา,16,0.3776043287594582,37.76
14,พลังท้องถิ่นไท,8,0.3722066929472682,37.22
0,กล้าธรรม,26,0.3643838221822598,36.44
31,เศรษฐกิจใหม่,9,0.36374880664048825,36.37
40,ไทรักธรรม,1,0.3275862068965517,32.76
9,ประชาธิปัตย์,97,0.28825685666128964,28.83
25,รักษ์ผืนป่าประเทศไทย,2,0.27071823204419887,27.07
39,ไทยสร้างไทย,6,0.2589921926275678,25.9
18,พลังสังคมใหม่,1,0.2553191489361702,25.53
37,ไทยรวมไทย,1,0.25,25.0
19,พลังไทยรักไทย,1,0.25,25.0
15,พลังธรรมใหม่,1,0.2192513368983957,21.93
16,พลังประชารัฐ,202,0.2148117804722413,21.48
5,ท้องที่ไทย,1,0.2127659574468085,21.28
20,พลเมืองไทย,1,0.20320855614973263,20.32
26,สมาชิกวุฒิสภา,538,0.18172325867864622,18.17
17,พลังปวงชนไทย,2,0.17318435754189945,17.32
1,ก้าวไกล,198,0.17081809819722818,17.08
8,ประชาธรรมไทย,1,0.15555555555555556,15.56
3,ชาติพัฒนา,11,0.14831629920656478,14.83
21,ภูมิใจไทย,140,0.12112930042981697,12.11
6,ประชาชน,145,0.08888204560168178,8.89
35,ใหม่,1,0.043478260869565216,4.35
10,ประชานิยม,1,0.0,0.0
12,พรร่คภูมีใจไทย,1,0.0,0.0
27,อนาคตใหม่,60,0.0,0.0
